ticker,date,avg_sentiment_vader,tweet_count,weighted_score_vader
TSLA,2020-09-19,0.4513571411371231,7,3.1594999879598618
AAPL,2020-10-18,-0.6778499782085419,2,-1.3556999564170837
AAPL,2020-11-08,0.7268999814987183,1,0.7268999814987183
DIS,2020-11-19,0.0,1,0.0
PYPL,2020-10-21,0.3400000035762787,1,0.3400000035762787
BA,2020-08-20,0.3400000035762787,1,0.3400000035762787
AMZN,2020-01-07,0.7825000286102295,1,0.7825000286102295
CCL,2020-04-01,0.19093333184719086,3,0.5727999955415726
AAPL,2020-05-08,0.10114999860525131,2,0.20229999721050262
TSLA,2020-06-10,0.17820909077470953,11,1.9602999985218048
TSLA,2020-08-05,0.2676999941468239,4,1.0707999765872955
AAPL,2020-10-27,0.7667999863624573,1,0.7667999863624573
PFE,2020-12-03,0.1923000030219555,8,1.538400024175644
WMT,2020-07-28,-0.12800000607967377,1,-0.12800000607967377
FB,2020-10-22,0.0,1,0.0
AAPL,2020-01-07,0.06936666866143544,3,0.20810000598430634
BA,2020-01-10,0.08834999799728394,6,0.5300999879837036
NVDA,2020-02-27,-0.3400000035762787,1,-0.3400000035762787
TSLA,2020-03-03,0.22271749824285508,40,8.908699929714203
BRK.B,2020-06-10,0.27549999952316284,1,0.27549999952316284
CCL,2020-06-24,0.11749999970197678,2,0.23499999940395355
BA,2020-08-12,0.08157500252127647,8,0.6526000201702118
AAPL,2020-11-03,0.4011666725079219,3,1.2035000175237656
MSFT,2020-12-11,0.5105999708175659,1,0.5105999708175659
TSLA,2020-02-21,-0.034320001800855,15,-0.514800027012825
BA,2020-03-11,0.0640285706945828,7,0.4481999948620796
AMZN,2020-03-21,-0.3400000035762787,1,-0.3400000035762787
AMZN,2020-03-25,0.519899994134903,2,1.039799988269806
AMZN,2020-04-30,0.23294999450445175,6,1.3976999670267105
DIS,2020-05-22,-0.29600000381469727,1,-0.29600000381469727
NVDA,2020-08-18,0.5719000101089478,1,0.5719000101089478
NVDA,2020-08-20,0.08895000070333481,2,0.17790000140666962
DIS,2020-10-06,0.42149999737739563,1,0.42149999737739563
AMZN,2020-10-06,0.14800000190734863,2,0.29600000381469727
BA,2020-01-08,-0.6908000111579895,1,-0.6908000111579895
SBUX,2020-01-24,0.0,1,0.0
AMZN,2020-01-29,0.0,1,0.0
V,2020-03-04,0.0,2,0.0
AAPL,2020-03-26,0.14777499856427312,8,1.182199988514185
FB,2020-04-08,0.3181999921798706,1,0.3181999921798706
TSLA,2020-06-19,-0.13955000042915344,4,-0.5582000017166138
MSFT,2020-08-05,-0.09866666793823242,3,-0.29600000381469727
AMZN,2020-11-26,0.23819999396800995,1,0.23819999396800995
TSLA,2020-12-22,0.09692571397338595,35,3.392399989068508
JNJ,2020-12-30,0.0,1,0.0
BA,2020-08-14,0.0,1,0.0
BABA,2020-10-08,0.0,1,0.0
NFLX,2020-03-05,0.3612000048160553,1,0.3612000048160553
TSLA,2020-03-27,-0.035392857023647854,14,-0.49549999833106995
AMZN,2020-04-29,-0.14044999331235886,2,-0.2808999866247177
AAPL,2020-07-30,0.3471449974924326,20,6.942899949848652
WMT,2020-08-14,0.6908000111579895,1,0.6908000111579895
WMT,2020-08-27,-0.09967500157654285,4,-0.3987000063061714
WMT,2020-09-10,0.17026665806770325,3,0.5107999742031097
MSFT,2020-09-22,-0.38179999589920044,1,-0.38179999589920044
MSFT,2020-05-20,0.0,1,0.0
AMZN,2020-11-13,0.0,1,0.0
CCL,2020-02-07,-0.42149999737739563,1,-0.42149999737739563
TSLA,2020-03-04,0.05030312214512378,32,1.609699908643961
NVDA,2020-03-25,0.32596665620803833,3,0.977899968624115
CCL,2020-04-24,0.3612000048160553,1,0.3612000048160553
TSLA,2020-04-27,0.18435999751091003,5,0.9217999875545502
TSLA,2020-05-02,0.13535000445942083,12,1.62420005351305
AAPL,2020-06-20,0.0,1,0.0
AAPL,2020-08-15,0.4815000146627426,2,0.9630000293254852
BA,2020-09-04,0.4708999991416931,3,1.4126999974250793
TSLA,2020-10-22,0.21024666527907054,15,3.153699979186058
FB,2020-11-13,0.0,1,0.0
ABNB,2020-12-15,0.010320000350475311,5,0.051600001752376556
AMZN,2020-04-21,0.784500002861023,1,0.784500002861023
PFE,2020-10-20,0.0,1,0.0
WMT,2020-12-18,0.8019999861717224,1,0.8019999861717224
MSFT,2020-01-16,0.0,1,0.0
MSFT,2020-08-24,0.0,1,0.0
BA,2020-02-10,0.0,1,0.0
MCD,2020-02-11,0.3612000048160553,1,0.3612000048160553
TSLA,2020-03-06,0.11779999981323878,21,2.4737999960780144
MA,2020-03-25,0.5541999936103821,1,0.5541999936103821
WMT,2020-07-14,0.5573999881744385,1,0.5573999881744385
TSLA,2020-10-03,-0.5105999708175659,1,-0.5105999708175659
BABA,2020-11-11,0.20763333638509116,3,0.6229000091552734
AAPL,2020-11-27,0.2417750060558319,4,0.9671000242233276
HD,2020-03-02,0.44040000438690186,1,0.44040000438690186
TSLA,2020-06-29,-0.1590999960899353,2,-0.3181999921798706
FB,2020-02-26,-0.6248999834060669,1,-0.6248999834060669
NVDA,2020-03-30,0.0,1,0.0
DIS,2020-04-03,0.0,1,0.0
MCD,2020-05-12,0.7821999788284302,1,0.7821999788284302
BA,2020-07-20,0.0,1,0.0
AMZN,2020-07-24,0.337849996984005,4,1.35139998793602
TSLA,2020-08-06,-0.23559999093413353,4,-0.9423999637365341
DIS,2020-08-06,-0.20229999721050262,1,-0.20229999721050262
AAPL,2020-08-28,0.17238333200414976,6,1.0342999920248985
NVDA,2020-11-20,0.4797333280245463,3,1.439199984073639
NVDA,2020-12-31,-0.27869999408721924,2,-0.5573999881744385
DIS,2020-05-15,0.06885000318288803,4,0.2754000127315521
BABA,2020-07-02,0.45879998803138733,1,0.45879998803138733
AMZN,2020-07-31,0.4016333296895027,6,2.4097999781370163
TSLA,2020-07-31,0.1559899915009737,10,1.559899915009737
WMT,2020-09-08,0.07620000094175339,1,0.07620000094175339
AAPL,2020-09-18,0.0472965515379248,29,1.3715999945998192
NVDA,2020-11-19,0.3181999921798706,1,0.3181999921798706
AMZN,2020-11-20,-0.3965499997138977,2,-0.7930999994277954
BA,2020-01-16,0.10270000249147415,1,0.10270000249147415
BA,2020-01-29,-0.057109091092239724,11,-0.628200002014637
WMT,2020-02-14,0.0,1,0.0
TSLA,2020-03-07,-0.48205000162124634,2,-0.9641000032424927
TSLA,2020-04-13,-0.056099998950958255,5,-0.28049999475479126
PYPL,2020-05-05,0.6248999834060669,1,0.6248999834060669
V,2020-05-09,0.6651999950408936,1,0.6651999950408936
AAPL,2020-07-09,0.31076666961113614,3,0.9323000088334084
BA,2020-08-11,0.7160999774932861,1,0.7160999774932861
MSFT,2020-09-11,-0.5719000101089478,1,-0.5719000101089478
HD,2020-03-17,0.4018999934196472,1,0.4018999934196472
FB,2020-01-30,0.47644998878240585,2,0.9528999775648117
BAC,2020-03-09,-0.29600000381469727,1,-0.29600000381469727
JPM,2020-07-07,0.0,1,0.0
JPM,2020-08-12,0.0,1,0.0
MSFT,2020-08-14,0.636900007724762,1,0.636900007724762
AMZN,2020-09-30,-0.40084999054670334,2,-0.8016999810934067
FB,2020-10-20,0.0,2,0.0
FB,2020-12-09,-0.12297999858856201,5,-0.6148999929428101
TSLA,2020-12-17,0.223812498152256,8,1.790499985218048
DIS,2020-12-30,-0.195579993724823,5,-0.977899968624115
MSFT,2020-02-18,-0.10964998602867126,2,-0.21929997205734253
TSLA,2020-03-16,0.1677374942228198,8,1.3418999537825584
AAPL,2020-03-30,-0.017799995839595795,6,-0.10679997503757477
AMZN,2020-04-14,0.42010000348091125,2,0.8402000069618225
MCD,2020-05-14,0.8357999920845032,1,0.8357999920845032
BABA,2020-05-19,0.19063333670298258,3,0.5719000101089478
HD,2020-06-02,0.0,1,0.0
PFE,2020-07-22,0.2852999985218048,5,1.426499992609024
AAPL,2020-07-25,0.0,1,0.0
AMZN,2020-08-14,0.0,1,0.0
BA,2020-08-27,0.17000000178813934,2,0.3400000035762787
AAPL,2020-03-11,0.041219998896121976,5,0.2060999944806099
XOM,2020-03-11,-0.15080000087618828,2,-0.30160000175237656
AAPL,2020-06-25,0.0016750022768974304,4,0.006700009107589722
MSFT,2020-07-02,0.0,1,0.0
TSLA,2020-07-24,0.13832777604046795,36,4.979799937456846
DIS,2020-09-17,-0.2176000028848648,2,-0.4352000057697296
UPS,2020-11-21,0.0,1,0.0
BA,2020-11-24,0.022974997758865356,4,0.09189999103546143
HD,2020-12-23,0.0,1,0.0
AMZN,2020-06-23,0.0,1,0.0
TSM,2020-01-08,0.4018999934196472,1,0.4018999934196472
MSFT,2020-02-20,0.0,1,0.0
DIS,2020-02-27,-0.18744999170303345,2,-0.3748999834060669
BA,2020-05-21,0.5170499980449677,2,1.0340999960899353
BA,2020-06-06,0.0,1,0.0
AAPL,2020-07-11,0.3400000035762787,1,0.3400000035762787
TSLA,2020-09-24,0.10081052574280061,38,3.8307999782264233
CCL,2020-10-13,0.0,1,0.0
DIS,2020-11-13,-0.16119999811053276,4,-0.644799992442131
AAPL,2020-11-19,0.11827999949455262,5,0.5913999974727631
ABNB,2020-12-16,0.01621999442577362,5,0.0810999721288681
AMZN,2020-09-24,0.08895000070333481,2,0.17790000140666962
BABA,2020-03-27,0.6248999834060669,1,0.6248999834060669
AAPL,2020-03-28,0.38179999589920044,1,0.38179999589920044
BABA,2020-12-24,0.3056714316563947,14,4.279400043189526
NFLX,2020-03-24,0.0,1,0.0
HD,2020-05-07,0.0,1,0.0
WMT,2020-05-18,0.784500002861023,1,0.784500002861023
AMZN,2020-07-29,0.22336666782697043,3,0.6701000034809113
FB,2020-09-18,-0.35680000483989716,2,-0.7136000096797943
AAPL,2020-11-17,0.2789666603008906,6,1.6737999618053436
ABNB,2020-12-19,0.22020000219345093,2,0.44040000438690186
